,Category,Sub-Category,Sales,Profit,Quantity,Shipping Cost
0,Furniture,Bookcases,1466572.2418,161924.4195,8310,155482.23
1,Furniture,Chairs,1501681.7642,140396.2675,12336,164229.85
2,Furniture,Furnishings,385578.2559,46967.4255,11225,40747.12
3,Furniture,Tables,757041.9244,-64083.3887,3083,79861.46
4,Office Supplies,Appliances,1011064.305,141680.5894,6078,108300.78
5,Office Supplies,Art,372091.9659,57953.9109,16301,41287.47
6,Office Supplies,Binders,461911.5057,72449.846,21429,48181.99
7,Office Supplies,Envelopes,170904.3016,29601.1163,8380,18547.78
8,Office Supplies,Fasteners,83242.3159,11525.4241,8390,9053.59
9,Office Supplies,Labels,73404.03,15010.512,9322,8059.88
10,Office Supplies,Paper,244291.7194,59207.6827,12822,26661.29
11,Office Supplies,Storage,1127085.8614,108461.4898,16917,120546.46
12,Office Supplies,Supplies,243074.2206,22583.2631,8543,24812.05
13,Technology,Accessories,749237.0185,129626.3062,10946,83513.58
14,Technology,Copiers,1509436.27328,258567.54818,7454,159496.49
15,Technology,Machines,779060.0671,58867.873,4906,79135.9
16,Technology,Phones,1706824.1392,216717.0058,11870,184902.77
