,Category,Sub-Category,Sales
0,Furniture,Bookcases,1466572.2418
1,Furniture,Chairs,1501681.7642
2,Furniture,Furnishings,385578.2559
3,Furniture,Tables,757041.9244
4,Office Supplies,Appliances,1011064.305
5,Office Supplies,Art,372091.9659
6,Office Supplies,Binders,461911.5057
7,Office Supplies,Envelopes,170904.3016
8,Office Supplies,Fasteners,83242.3159
9,Office Supplies,Labels,73404.03
10,Office Supplies,Paper,244291.7194
11,Office Supplies,Storage,1127085.8614
12,Office Supplies,Supplies,243074.2206
13,Technology,Accessories,749237.0185
14,Technology,Copiers,1509436.27328
15,Technology,Machines,779060.0671
16,Technology,Phones,1706824.1392
