,Order Date,Sales,Segment,Profit
8,2014-10-14,5083.96,Corporate,1906.485
15,2014-07-31,1869.588,Corporate,186.948
16,2014-11-03,2249.91,Corporate,517.4793
17,2014-09-08,7958.58,Corporate,3979.08
18,2014-01-31,2565.594,Corporate,28.404
19,2014-12-05,3409.74,Consumer,818.28
24,2014-07-31,1713.84,Consumer,445.52
25,2014-09-05,2106.496,Consumer,526.496
37,2014-11-05,7999.98,Corporate,-3839.9904
38,2014-01-14,4141.02,Consumer,1697.67
41,2014-11-11,4518.78,Home Office,632.52
42,2014-09-26,5667.87,Corporate,2097.03
47,2014-08-28,2761.2,Consumer,110.34
48,2014-05-01,2174.13,Consumer,500.01
49,2014-12-18,3473.14,Consumer,868.12
51,2014-09-18,2108.64,Consumer,527.04
52,2014-07-25,2399.96,Corporate,839.986
58,2014-08-05,4191.507,Consumer,1164.267
59,2014-08-24,4367.896,Consumer,327.5922
60,2014-03-11,3063.27,Consumer,581.91
62,2014-08-11,4473.0,Corporate,313.11
64,2014-01-18,5049.0,Consumer,656.37
66,2014-12-07,2188.05,Consumer,1050.15
67,2014-12-16,1920.36,Corporate,652.92
68,2014-11-20,1704.0,Home Office,119.28
73,2014-08-26,3427.1496,Corporate,-452.8104
75,2014-05-16,2863.35,Consumer,858.9
80,2014-11-19,5729.346,Consumer,63.546
81,2014-10-28,5301.24,Corporate,2597.28
82,2014-01-17,5443.96,Consumer,2504.2216
83,2014-08-18,4416.174,Consumer,-630.882
93,2014-12-23,3863.88,Corporate,1159.02
101,2014-11-19,3524.472,Corporate,861.372
106,2014-11-07,2036.86,Home Office,366.6348
124,2014-03-18,1505.979,Corporate,-265.761
125,2014-12-19,1954.17,Consumer,312.66
129,2014-09-18,1213.18876,Consumer,508.00876
132,2014-07-19,3278.5848,Home Office,140.8248
142,2014-09-18,3834.0,Consumer,268.38
143,2014-09-12,2054.272,Home Office,256.784
145,2014-12-09,1725.462,Home Office,747.612
151,2014-08-02,1112.778,Consumer,296.658
153,2014-01-08,3059.982,Corporate,679.996
157,2014-04-09,3117.088,Corporate,38.948
159,2014-03-19,1888.7,Home Office,887.6
162,2014-08-20,5211.12,Consumer,1146.24
164,2014-03-14,3569.643,Consumer,674.163
166,2014-07-09,2910.0816,Consumer,125.1216
169,2014-03-17,2645.376,Consumer,-0.024
173,2014-10-23,2399.6,Home Office,647.892
175,2014-04-03,2291.814,Corporate,127.134
