,Sales
0,2309.65
1,3709.395
2,5175.171
3,2892.51
4,2832.96
5,2862.675
6,1822.08
7,5244.84
8,5083.96
9,4297.644
10,4164.05
11,4626.15
12,2616.96
13,2221.8
14,3701.52
15,1869.588
16,2249.91
17,7958.58
18,2565.594
19,3409.74
20,1977.72
21,2735.952
22,2754.0
23,5273.7
24,1713.84
25,2106.496
26,1715.16
27,3069.738
28,4158.912
29,1878.72
30,1696.64
31,2402.865
32,2453.43
33,2526.93
34,3610.848
35,3817.26
36,2799.96
37,7999.98
38,4141.02
39,2875.095
40,3200.5962
41,4518.78
42,5667.87
43,5785.02
44,3018.624
45,9449.95
46,2092.5
47,2761.2
48,2174.13
49,3473.14
50,3050.376
51,2108.64
52,2399.96
53,2197.5
54,2582.16
55,1526.52
56,3149.93
57,1745.34
58,4191.507
59,4367.896
60,3063.27
61,4643.8
62,4473.0
63,1502.01
64,5049.0
65,2104.55
66,2188.05
67,1920.36
68,1704.0
69,1858.68
70,3298.26
71,2443.48
72,3808.8
73,3427.1496
74,3441.69
75,2863.35
76,6354.95
77,1487.4
78,3200.04
79,2301.0
80,5729.346
81,5301.24
82,5443.96
83,4416.174
84,3219.9
85,2487.8088
86,2266.44
87,3068.361
88,3728.43
89,1581.48
90,1916.73
91,1685.88
92,2432.16
93,3863.88
94,2465.82
95,1847.52
96,2899.89
97,2891.7
98,2016.846
99,3155.544
100,3856.14
101,3524.472
102,2167.296
103,2556.0
104,1469.25
105,4448.832
106,2036.86
107,2472.66
108,3739.176
109,2570.865
110,9099.93
111,2875.77
112,1741.8
113,1601.64
114,3670.8
115,2973.32
116,1900.95
117,1261.33
118,4544.1
119,1455.12
120,1943.19
121,6999.96
122,9892.74
123,1695.87
124,1505.979
125,1954.17
126,2244.48
127,8399.976
128,1628.82
129,1213.18876
130,1590.6
131,2330.64
132,3278.5848
133,3741.5238
134,1603.136
135,3637.602
136,2455.88
137,1024.68
138,2807.84
139,4476.8
140,2297.96
141,2671.41
142,3834.0
143,2054.272
144,3501.7368
145,1725.462
146,1583.7
147,1931.04
148,2760.345
149,3078.72
150,1983.135
151,1112.778
152,3616.5
153,3059.982
154,2892.105
155,3263.4
156,2396.2656
157,3117.088
158,4899.93
159,1888.7
160,3000.78
161,3801.63
162,5211.12
163,1356.03
164,3569.643
165,1287.45
166,2910.0816
167,3126.4002
168,5276.988
169,2645.376
170,1637.01
171,4499.985
172,2645.376
173,2399.6
174,3238.305
175,2291.814
176,2124.5
177,2757.78
178,1549.98
179,2624.985
180,3146.4
181,2456.619
182,2228.6355
183,2999.95
184,4001.04
