,p10,p25,p50,p75,p90,ds
0,55198.85788,55198.85788,55198.85788,55198.85788,55198.85788,2015-01-04
1,41744.79527709557,53678.26804536444,66570.1584037706,78882.87404141964,90169.01547046388,2015-01-11
2,43306.272990297926,56481.49962510491,70465.83130397192,83170.2924003205,95757.0180880449,2015-01-18
3,43865.30707644773,57937.55723794745,73680.72689562602,87765.39393975542,101291.73283866367,2015-01-25
4,42228.79789021077,56492.77783767844,73392.330231701,89897.66950708703,103316.61665327223,2015-02-01
5,40846.67469934394,55868.03114496155,72690.0178682062,90023.20045259342,104657.60208443894,2015-02-08
6,53732.16889433514,66427.3722771371,84043.07085832427,101241.38375962952,118952.68071665768,2015-02-15
7,44858.77560057497,63701.57721888515,81659.4791978425,101915.72485413637,118516.52314718353,2015-02-22
8,36891.525302930386,57023.400805437486,77562.8370309553,95566.76873036622,115427.62463916687,2015-03-01
9,40805.65473761656,60503.66519908524,83351.31951013088,103685.49604938552,121769.49135497068,2015-03-08
10,48973.62973653909,68891.66445740749,91935.51863641762,114148.42843864701,131416.52363778042,2015-03-15
11,58167.45970652609,78580.21055182884,99376.09475527325,120860.77276289584,140191.3402982679,2015-03-22
12,49916.28181004618,68067.84688153234,92668.32432705772,114065.47670505288,133802.79782261504,2015-03-29
13,40909.33503010611,62363.349685695546,85815.33069213682,107874.42081021734,128944.4956079323,2015-04-05
14,33833.38867577449,57206.91962621252,81727.04733834774,103747.15724904867,122519.30110528125,2015-04-12
15,36275.988929960506,61183.11521192049,86901.73868203643,111192.88736771041,130715.87583935112,2015-04-19
16,26950.842776971353,51086.89998202701,76792.66830097303,100833.52276904955,123921.28609391561,2015-04-26
17,31647.91841388851,55289.50962311881,83006.69252148115,107090.87737255039,129806.9194103828,2015-05-03
18,44982.151822432475,69227.301714424,95949.95497879048,120005.97306566674,143568.69533784644,2015-05-10
19,43504.35373220787,67563.53618750094,95129.47608646087,121369.00187956123,144812.82763392548,2015-05-17
20,43239.89190987398,66268.38640323603,93453.79759166918,122396.13896312236,145183.4972924752,2015-05-24
21,50595.0196596445,77405.97316415072,104868.82933350092,131903.6835725863,154611.59104721766,2015-05-31
22,54388.1380069802,77569.88302884714,107624.4236792844,133085.5494456475,158948.4682622603,2015-06-07
23,56380.79595572365,81222.38444645952,109948.81209247018,138590.3483696321,164120.1545351142,2015-06-14
24,65878.64129681565,89351.95466356898,119248.10931688533,148580.5252682644,175039.14915382353,2015-06-21
25,65084.37840973297,88657.09092549696,118526.10433488729,150114.2192590183,175543.79185257005,2015-06-28
26,27514.308889162938,52150.892248790755,81665.20680124173,113527.51965673985,141216.43807567065,2015-07-05
