,Year,Category,Sales
0,2011,Accessories,113456.0076
1,2011,Appliances,173383.4264
2,2011,Art,64138.9322
3,2011,Binders,86998.9143
4,2011,Bookcases,259396.2858
5,2011,Chairs,285730.97609999997
6,2011,Copiers,216367.89214
7,2011,Envelopes,27986.6005
8,2011,Fasteners,13608.5666
9,2011,Furnishings,63933.6284
10,2011,Labels,13616.4576
11,2011,Machines,160545.6814
12,2011,Paper,42665.9781
13,2011,Phones,337282.4802
14,2011,Storage,205626.9622
15,2011,Supplies,47580.6123
16,2011,Tables,147131.4937
17,2012,Accessories,172397.685
18,2012,Appliances,222942.9649
19,2012,Art,82358.3492
20,2012,Binders,93417.9158
21,2012,Bookcases,317953.4498
22,2012,Chairs,295058.1396
23,2012,Copiers,327168.5988
24,2012,Envelopes,38013.8195
25,2012,Fasteners,19477.6939
26,2012,Furnishings,81804.4719
27,2012,Labels,15518.2708
28,2012,Machines,159858.9511
29,2012,Paper,51512.3793
30,2012,Phones,364016.2744
31,2012,Storage,228555.8172
32,2012,Supplies,43297.4164
33,2012,Tables,164086.4968
34,2013,Accessories,209895.1623
35,2013,Appliances,254951.1295
36,2013,Art,98007.0331
37,2013,Binders,121075.0913
38,2013,Bookcases,376025.7999
39,2013,Chairs,427514.3732
40,2013,Copiers,415514.88858
41,2013,Envelopes,50805.2553
42,2013,Fasteners,21596.8929
43,2013,Furnishings,111819.8452
44,2013,Labels,18380.7895
45,2013,Machines,198376.1987
46,2013,Paper,70512.5548
47,2013,Phones,453519.0045
48,2013,Storage,309475.7954
49,2013,Supplies,65913.1001
50,2013,Tables,202363.5351
51,2014,Accessories,253488.1636
52,2014,Appliances,359786.7842
53,2014,Art,127587.6514
54,2014,Binders,160419.5843
55,2014,Bookcases,513196.7063
56,2014,Chairs,493378.2753
57,2014,Copiers,550384.89376
58,2014,Envelopes,54098.6263
59,2014,Fasteners,28559.1625
60,2014,Furnishings,128020.3104
61,2014,Labels,25888.5121
62,2014,Machines,260279.2359
63,2014,Paper,79600.8072
64,2014,Phones,552006.3801
65,2014,Storage,383427.2866
66,2014,Supplies,86283.0918
67,2014,Tables,243460.3988
