id,Order Date,Segment,sales,truncated
0,2011-01-03,Consumer,4310.4902,4.0
1,2011-01-03,Corporate,1078.095,1.0
2,2011-01-03,Home Office,237.735,0.0
3,2011-01-10,Consumer,15276.56356,15.0
4,2011-01-10,Corporate,4000.23844,4.0
5,2011-01-10,Home Office,8841.1254,9.0
6,2011-01-17,Consumer,11574.0813,12.0
7,2011-01-17,Corporate,7665.91326,8.0
8,2011-01-17,Home Office,3445.026,3.0
9,2011-01-24,Consumer,11777.783300000001,12.0
10,2011-01-24,Corporate,7809.8971,8.0
11,2011-01-24,Home Office,3886.308,4.0
12,2011-01-31,Consumer,13748.4549,14.0
13,2011-01-31,Corporate,3725.7075,4.0
14,2011-01-31,Home Office,1521.0699,2.0
15,2011-02-07,Consumer,6983.516799999999,7.0
16,2011-02-07,Corporate,7156.9863,7.0
17,2011-02-07,Home Office,284.538,0.0
18,2011-02-14,Consumer,8536.68536,9.0
19,2011-02-14,Corporate,13275.352,13.0
20,2011-02-14,Home Office,4248.66536,4.0
21,2011-02-21,Consumer,11299.45,11.0
22,2011-02-21,Corporate,10660.9813,11.0
23,2011-02-21,Home Office,5293.9612,5.0
24,2011-02-28,Consumer,8440.66216,8.0
25,2011-02-28,Corporate,11905.1155,12.0
26,2011-02-28,Home Office,3066.243,3.0
27,2011-03-07,Consumer,19049.5849,19.0
28,2011-03-07,Corporate,8934.1058,9.0
29,2011-03-07,Home Office,4286.066,4.0
30,2011-03-14,Consumer,18526.742,19.0
31,2011-03-14,Corporate,4687.88572,5.0
32,2011-03-14,Home Office,5687.0960000000005,6.0
33,2011-03-21,Consumer,8064.90984,8.0
34,2011-03-21,Corporate,12521.2235,13.0
35,2011-03-21,Home Office,28784.316,29.0
36,2011-03-28,Consumer,11831.598100000001,12.0
37,2011-03-28,Corporate,3009.7797,3.0
38,2011-03-28,Home Office,3887.093,4.0
39,2011-04-04,Consumer,24045.71608,24.0
40,2011-04-04,Corporate,6663.6734,7.0
41,2011-04-04,Home Office,3856.8918,4.0
42,2011-04-11,Consumer,10501.6849,11.0
43,2011-04-11,Corporate,14541.62,15.0
44,2011-04-11,Home Office,5051.5199999999995,5.0
45,2011-04-18,Consumer,7970.7542,8.0
46,2011-04-18,Corporate,8230.1215,8.0
47,2011-04-18,Home Office,8789.373,9.0
48,2011-04-25,Consumer,12588.9835,13.0
49,2011-04-25,Corporate,6812.2391,7.0
50,2011-04-25,Home Office,5327.8,5.0
51,2011-05-02,Consumer,14982.3485,15.0
52,2011-05-02,Corporate,12281.71,12.0
53,2011-05-02,Home Office,1005.5020000000001,1.0
54,2011-05-09,Consumer,16565.05634,17.0
55,2011-05-09,Corporate,8478.36838,8.0
56,2011-05-09,Home Office,6194.9533,6.0
57,2011-05-16,Consumer,13403.013,13.0
58,2011-05-16,Corporate,12229.035,12.0
59,2011-05-16,Home Office,1611.504,2.0
60,2011-05-23,Consumer,17401.9691,17.0
61,2011-05-23,Corporate,13435.1065,13.0
62,2011-05-23,Home Office,3653.773,4.0
63,2011-05-30,Consumer,23403.7256,23.0
64,2011-05-30,Corporate,10284.261,10.0
65,2011-05-30,Home Office,2402.12,2.0
66,2011-06-06,Consumer,23492.814300000002,23.0
67,2011-06-06,Corporate,23573.83788,24.0
68,2011-06-06,Home Office,10019.0657,10.0
69,2011-06-13,Consumer,26494.98448,26.0
70,2011-06-13,Corporate,10897.7798,11.0
71,2011-06-13,Home Office,14379.82984,14.0
72,2011-06-20,Consumer,26179.68476,26.0
73,2011-06-20,Corporate,14228.94516,14.0
74,2011-06-20,Home Office,3258.07,3.0
75,2011-06-27,Consumer,31985.30058,32.0
76,2011-06-27,Corporate,15251.1356,15.0
77,2011-06-27,Home Office,3026.6865000000003,3.0
78,2011-07-04,Consumer,8186.4792,8.0
79,2011-07-04,Corporate,10638.8528,11.0
80,2011-07-04,Home Office,8219.6994,8.0
81,2011-07-11,Consumer,9668.9291,10.0
82,2011-07-11,Corporate,7755.18396,8.0
83,2011-07-11,Home Office,5565.484,6.0
84,2011-07-18,Consumer,9225.8286,9.0
85,2011-07-18,Corporate,6750.502,7.0
86,2011-07-18,Home Office,4584.9436,5.0
87,2011-07-25,Consumer,24872.35356,25.0
88,2011-07-25,Corporate,9198.16206,9.0
89,2011-07-25,Home Office,4143.0768,4.0
90,2011-08-01,Consumer,23149.948239999998,23.0
91,2011-08-01,Corporate,5357.3009999999995,5.0
92,2011-08-01,Home Office,5791.7858,6.0
93,2011-08-08,Consumer,27583.3209,28.0
94,2011-08-08,Corporate,12034.4234,12.0
95,2011-08-08,Home Office,4939.0895,5.0
96,2011-08-15,Consumer,34068.456,34.0
97,2011-08-15,Corporate,12316.6424,12.0
98,2011-08-15,Home Office,5968.2585,6.0
99,2011-08-22,Consumer,18194.1234,18.0
