Order Date,Segment,sales,year
2011-12-31,Consumer,1173671.27626,2011
2011-12-31,Corporate,691662.64254,2011
2011-12-31,Home Office,394116.97674,2011
2012-12-31,Consumer,1463760.29774,2012
2012-12-31,Corporate,774459.57202,2012
2012-12-31,Home Office,439218.82464,2012
2013-12-31,Consumer,1729255.30378,2013
2013-12-31,Corporate,1064973.42358,2013
2013-12-31,Home Office,611517.72202,2013
2014-12-31,Consumer,2141262.54008,2014
2014-12-31,Corporate,1293601.88332,2014
2014-12-31,Home Office,865001.44716,2014
